127.0.0.1 - - [08/Aug/2017:15:19:16 +0800] "GET / HTTP/1.1" 404 1070
127.0.0.1 - - [08/Aug/2017:15:19:18 +0800] "GET /crowdfunding/static/dist/list.js HTTP/1.1" 200 3488
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:19:46 +0800] "GET /crowdfunding/ HTTP/1.1" 200 6934
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:19:46 +0800] "GET /crowdfunding/static/dist/list.css HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:19:46 +0800] "GET /crowdfunding/static/validate/jquery.validate.min.js HTTP/1.1" 200 21090
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:19:46 +0800] "GET /crowdfunding/static/validate/messages_zh.min.js HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:19:46 +0800] "GET /crowdfunding/static/loading/loading.css HTTP/1.1" 200 17414
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:19:46 +0800] "GET /crowdfunding/static/pagination/pagination.css HTTP/1.1" 200 554
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:19:46 +0800] "GET /crowdfunding/static/dist/list.js HTTP/1.1" 200 3488
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:19:46 +0800] "GET /crowdfunding/static/loading/loading.js HTTP/1.1" 200 6598
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:19:46 +0800] "GET /crowdfunding/static/jquery/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:19:46 +0800] "GET /crowdfunding/static/bootstrap/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:19:46 +0800] "GET /crowdfunding/static/pagination/pagination.js HTTP/1.1" 200 8602
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:19:46 +0800] "GET /crowdfunding/static/bootstrap/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:19:47 +0800] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:19:48 +0800] "POST /crowdfunding/getFunds HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:19:54 +0800] "POST /crowdfunding/getFunds HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:19:55 +0800] "POST /crowdfunding/getFunds HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:20:50 +0800] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [08/Aug/2017:15:22:02 +0800] "GET /crowdfunding/ HTTP/1.1" 200 6934
